Deutsch,English
die Belohnung,the reward
die Ewigkeit,the eternity
der Dienst,the service
der Rücktritt,the resignation
die Angewohnheit,the habit
die Gewohnheiten,the habits
der Wirt,the host
das Klo,the toilette
die Betreuung,the care
die Pflege,the care
die Hochschule,the university
das Abitur,highschool
die Ausnahmen,the exceptions
der Aufnahmetest,admission test
die Fristen,deadlines
die Anforderungen,the requirements
das Fach,the subject
die Botschaft,the embassy
die Umgebung,the surroundings
die Einreise,the entry
die Hose,the trousers
die Socke,the socks
die Unterwäsche,the underwear
die Kappe,la capa
der Schal,the scarf
der Anzug,the suit
die Zahnbürste,the toothbrush
die Zahnpasta,the toothpaste
die Seife,the soap
die Schere,the scissors
der Bleistift,the pencil
der Sand,the sand
die Fee,the fairy
der Hase,the bunny
die Hasen,the bunnies
die Lampe,the lamp
das Waschbecken,the sink
der Reifen,the tire
der Fan,the fan
die Vorhänge,the curtains
die Decken,the blankets
das Kissen,the pillow
die Kante,the edge
Der Geldbeutel,the wallet
die Zeitung,the newspaper
die Bestimmung,the determination
der Zustand,the condition
der Couch,the couch
der Lärm,the noise
die Schublade,the drawer
das Heimatland,the homeland
das Fremde,the foreign
die Fußgänger,the pedestrians
das Eigentum,the property
der Winkel,the angle
der Rückstoß,the recoil
das Rohr,the tube
der Frieden,the peace
der Schurke,the villian
die Verabredung,the appointment
das Stichwort,the clueword
der Bereich,the zone
die ableitungen,the derivatives
die vereinfachungen,the simplifications
der Flüchtling,the refugees
die Verfügung,the disposal
der Groll,the resentment
die Freude,the joy
die zunehmende,the increasing
die Beute,the prey
das Sperrgebiet,the restricted area
die Verneinung,the negation
die Bestrafung,the punishment
die Unannehmlichkeiten,the inconveniences
das Ereignis,the event
der Enkel,the grandson
der Neffe,the nephew
